source_url,department,page_title,type_contacts,categories,contact_count
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6426680a-e982-48fb-afa3-712563bc6bc6,correze,Mairie - Tudeils,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/657ffe2b-9c86-44e5-ae33-ac673223e07a,correze,Mairie - Les Trois-Saints,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/66fbe686-c14b-44b7-9d06-7aef3647db88,correze,Point d'information local dédié aux personnes âgées - Tulle,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6708e41b-2e6b-463e-adcf-20619d2a587c,correze,Mairie - Laval-sur-Luzège,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/672fa7df-c23d-41c7-8552-f30be823f513,correze,Communauté de communes - Haute Corrèze,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/67582c79-04e4-4929-88b1-581cac44dfb4,correze,Mairie - Champagnac-la-Prune,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/67ad3d99-88d0-4d49-9640-c2fdb7da1fd0,correze,Point d'information local dédié aux personnes âgées - Neuvic,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/67c0f496-0580-40df-b907-a6a6a37baceb,correze,Mairie - Ladignac-sur-Rondelles,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6803e768-f76f-4cea-a7d2-c7259a430c70,correze,France services - Bort-les-Orgues,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6804efb3-6855-42d0-8e3d-35181fa04023,correze,Greffe des associations - Corrèze (Ussel),collectivite_administration,prefecture administration,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/68180fa5-620c-436a-ad62-ed5c0f07ad70,correze,Mairie - Rilhac-Treignac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/68e0a6f2-91b3-406d-b407-3a08fe6e7f27,correze,Mairie - Mercoeur,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/69c59a4b-b8a7-4271-ad79-24821cdb993d,correze,"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Corrèze",collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6aee5a5a-6a15-4334-b365-4d33284bf8b6,correze,Point d'information local dédié aux personnes âgées - Uzerche,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6afac16d-018e-4dec-bf91-5888963bc3dc,correze,Mairie - Champagnac-la-Noaille,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6b33c3be-3b7f-46c9-aa85-d44a8e4ec8ec,correze,Mairie - Saint-Salvadour,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6be6d1ec-358e-4918-8ac7-e648147b8609,correze,Mairie - Meyssac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6c70e29f-89c5-4192-abc8-2f16f5feaccf,correze,Mairie - Monestier-Merlines,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6d2afc17-d888-4d92-aab5-0e7124005c50,correze,Mairie - Concèze,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6d2b20bd-97c3-488d-a879-a86ebc9af437,correze,Greffe des associations - Corrèze (Brive-la-Gaillarde),collectivite_administration,prefecture administration,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6ec55ec9-a6bb-42e2-8501-b501bbff4aca,correze,Mairie - Lagleygeolle,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6f033302-aded-4a9f-9d7f-d0ac605ca16c,correze,Mairie - Bassignac-le-Haut,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6f9bc01a-452f-4f63-bf91-7aa4f7445d47,correze,Communauté de communes - Vézère-Monédières-Millesources,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6fa5072a-3e2c-4dbd-aa8a-51bab65f0125,correze,Mairie - Puy-d Arnac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/707aa487-3bb8-4fcf-bb4b-4003ba027cc4,correze,Mairie - Ligneyrac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/71348f16-3bdc-4caa-b5cf-3dae0c35995b,correze,Point information jeunesse - Ussel,jeunesse_loisirs,PIJ information jeunesse,1
